hopcount;cpuusage;cputotal;numservices
5;0.0;4480000;0
4;0.0;2800;0
3;0.0;2800;0
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
3;0.0;2800;0
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
3;0.0;2800;0
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
2;0.0;2800;0
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
1;308.00000000000006;2800;45
