hopcount;requestratio
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;100
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;250
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;300
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
1;200
